created_month,all_platforms,facebook,instagram,twitter,youtube
2020-01-01,482919822.0,310342224.0,110807109.0,15083673.0,46686816.0
2020-02-01,467032401.0,306785686.0,101239344.0,13809240.0,45198131.0
2020-03-01,518761614.0,325793365.0,124768971.0,17131129.0,51068149.0
2020-04-01,529796738.0,349487562.0,107748551.0,15334786.0,57225839.0
2020-05-01,518838348.0,345382412.0,101764412.0,14282120.0,57409404.0
2020-06-01,515412809.0,338701622.0,110642269.0,14164988.0,51903930.0
2020-07-01,544156764.0,356185640.0,123555710.0,14962329.0,49453085.0
2020-08-01,526402690.0,355293759.0,115923670.0,11621508.0,43563753.0
2020-09-01,479235365.0,317681175.0,109070636.0,11641690.0,40841864.0
2020-10-01,559509166.0,389776087.0,110146368.0,18379115.0,41207596.0
2020-11-01,528582556.0,371109442.0,111018578.0,8272512.0,38182024.0
2020-12-01,520421985.0,368005509.0,110234362.0,8447804.0,33734310.0
