,account_name,channel,like,love,wow,haha,sad,angry,comment,share,engagement,favorite,retweet,share_on_facebook,dislike
4426,โดนไล่มาเล่นในนี้,facebook,2692362.0,25015.0,6652.0,1075468.0,94565.0,2047.0,203991.0,616496.0,4716596,0.0,0.0,0.0,0.0
652,Edwin,facebook,4171525.0,162020.0,10042.0,172852.0,54420.0,568.0,70508.0,70934.0,4712869,0.0,0.0,0.0,0.0
3748,รีวิววนไป,facebook,3298604.0,56962.0,12670.0,8707.0,6189.0,1907.0,320088.0,981512.0,4686639,0.0,0.0,0.0,0.0
1435,Migrationology,facebook,3503470.0,355029.0,66306.0,8738.0,3159.0,6766.0,148530.0,584637.0,4676635,0.0,0.0,0.0,0.0
243,BeBell,instagram,4652223.0,0.0,0.0,0.0,0.0,0.0,8074.0,0.0,4660297,0.0,0.0,0.0,0.0
2122,TONKLA,youtube,4358444.0,0.0,0.0,0.0,0.0,0.0,182817.0,0.0,4628008,0.0,0.0,2934.0,83813.0
821,French Bulldog-French Pierre,facebook,3591071.0,544542.0,5615.0,293224.0,620.0,108.0,105934.0,84519.0,4625633,0.0,0.0,0.0,0.0
3979,หมาจ๋า,instagram,4586140.0,0.0,0.0,0.0,0.0,0.0,33303.0,0.0,4619443,0.0,0.0,0.0,0.0
3934,หญิงชรา กะ หมาน้อย,facebook,3718449.0,512815.0,18806.0,20887.0,4163.0,235.0,128315.0,196166.0,4599836,0.0,0.0,0.0,0.0
1331,MUJI SAMA むじ さま,facebook,2951767.0,910059.0,3719.0,128983.0,65448.0,173.0,159624.0,352594.0,4572367,0.0,0.0,0.0,0.0
1643,OPZ TV,youtube,4252689.0,0.0,0.0,0.0,0.0,0.0,205790.0,0.0,4531903,0.0,0.0,12518.0,60906.0
3027,zbing z.,instagram,4468134.0,0.0,0.0,0.0,0.0,0.0,24004.0,0.0,4492138,0.0,0.0,0.0,0.0
4477,ใต้เตียงดารา,twitter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4490918,1731923.0,2758995.0,0.0,0.0
4009,หัวกลม,facebook,2402057.0,26417.0,5761.0,1023556.0,16089.0,1280.0,277619.0,706842.0,4459621,0.0,0.0,0.0,0.0
1245,Layzaracing Channel,facebook,4198039.0,45971.0,14940.0,69021.0,2294.0,4007.0,21730.0,52653.0,4408655,0.0,0.0,0.0,0.0
3684,มนุษย์เงินเดือนพันธุ์ใหม่,facebook,3674510.0,52809.0,4560.0,22750.0,5905.0,195.0,73295.0,556204.0,4390228,0.0,0.0,0.0,0.0
2453,ZuvapitSnap,facebook,3641330.0,540868.0,5842.0,18872.0,308.0,151.0,24191.0,141723.0,4373285,0.0,0.0,0.0,0.0
953,HeHaa TV,facebook,3224596.0,553996.0,20683.0,393638.0,8971.0,7511.0,103183.0,54913.0,4367491,0.0,0.0,0.0,0.0
3266,จบข่าว,facebook,2955076.0,72144.0,33680.0,567732.0,102924.0,103752.0,280986.0,232566.0,4348860,0.0,0.0,0.0,0.0
7,108Life,youtube,3722651.0,0.0,0.0,0.0,0.0,0.0,280882.0,0.0,4346845,0.0,0.0,2364.0,340948.0
1193,Kingdom Of Tigers: ทูนหัวของบ่าว,instagram,4301791.0,0.0,0.0,0.0,0.0,0.0,23263.0,0.0,4325054,0.0,0.0,0.0,0.0
3412,ทำเรื่องเล่นให้เป็นเรื่องใหญ่,facebook,2965177.0,211344.0,4976.0,11465.0,19583.0,220.0,54158.0,1056463.0,4323386,0.0,0.0,0.0,0.0
1161,Kaykai Salaider Channel,facebook,3395643.0,473041.0,13262.0,215161.0,14706.0,3899.0,93447.0,107320.0,4316479,0.0,0.0,0.0,0.0
1708,PRAEW,facebook,3334130.0,618715.0,3440.0,60240.0,393.0,166.0,92957.0,152039.0,4262080,0.0,0.0,0.0,0.0
1014,IceBarBer,youtube,3931344.0,0.0,0.0,0.0,0.0,0.0,197880.0,0.0,4241811,0.0,0.0,3447.0,109140.0
1680,PEACH EAT LAEK,youtube,4028878.0,0.0,0.0,0.0,0.0,0.0,88190.0,0.0,4235795,0.0,0.0,29345.0,89382.0
3497,นุ๊ก ไอดอ,instagram,4219649.0,0.0,0.0,0.0,0.0,0.0,9515.0,0.0,4229164,0.0,0.0,0.0,0.0
1918,SANDEE CH,youtube,3980531.0,0.0,0.0,0.0,0.0,0.0,135729.0,0.0,4214267,0.0,0.0,1969.0,96038.0
